Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
ACCULTURATION ET EDUCATION;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;Codings Goûters;Tel: 04 42 27 32 96 Mail: caraye@cscjeanpaulcoste.com;Initiation à la programmation de manière ludique. Réalisation de ces ateliers dans le cadre des Accueils Collectifs de Mineurs (Centres aérés)  et de l’Accompagnement à la Scolarité;"Outils utilisés : code.org, scratch, code studio, code combat, Light Bot
Techniques : méthodes ludiques d’apprentissage,  inverser le rôle d’apprenant et de formateur (les enfants apprennent le code aux adultes : professeurs bénévoles, parents, etc…)
";Activité et Stage de Loisirs;"Public jeune dans le cadre du Centre aéré 
Tout public dans le cadre de l’Accompagnement à la scolarité
";
ACCULTURATION ET EDUCATION;Centre socio-culturel Jean-Paul Coste;;217 avenue Jean-Paul Coste;13100;Aix-en-Provence;Game Camp;Tel: 04 42 27 32 96 Mail: caraye@cscjeanpaulcoste.com;Découverte et initiation aux différents jeux vidéos en réseaux de manière conviviale et ludique;"Outils utilisés : jeux vidéos, consoles jeux vidéos
Techniques : méthodes ludiques d’apprentissage
";Activité et Stage de Loisirs;"Public jeune en majorité
Tout public en fonction de l’activité
";
ACCULTURATION ET EDUCATION;ERIC Rognonas;Espace Informatique Communal;3 rue Croix St Eloi ;13870;Rognonas;;Tel: 06 30 20 18 91 Mail: nelly.cyberclub@laposte.net;"• Découverte initiation internet et ses pratiques
• Stages photos – Prises de vues - retouches photos – Diaporamas – Albums photos en ligne
• Formation Bureautique (perfectionnement Traitements de textes, calculs, courriels)
• Pratiques e-administration et e-santé 
• Participation à différents concours photos (Marseille - Arles)";"• Cours théoriques (avec supports écrits explications + captures d’écrans) / exercices pratiques 
• Chaque exercice abouti à une production
• Tous les exercices sont basés sur des applications de pratiques courantes
";"• Cours collectifs de niveau (12) formation ou loisir
• Cours particuliers formation ou loisir
• Stages ponctuels (Photos – Bureautique – e-Administration - Vidéos)
• Accès libre
";"• Adultes en activité
• Retraités 
• Artisans / Commerçants 
• Agriculteurs 
• Jeunes en formation
• Enfants de 6 à 15 ans
• Personnes handicapées
• Tout public";
ACCULTURATION ET EDUCATION;La Bo[a]te ;;35 rue de la paix marcel paul ;13001;Marseille;Goûter du code;;;Atelier ;Presentiel;Enfants 7-12 ans;
ACCULTURATION ET EDUCATION;Les Petits Débrouillards PACA;;51 Avenue de Frais Vallon ;13013;Marseille;Le Science Tour du Numérique;Tel : 06 16 43 01 88 Mail: h.bru@lespetitsdebrouillards.org;Le Science Tour est un dispositif de mobilisation et de mise en avant des acteurs de la médiation numérique. Partant de l’idée d’un Fablab itinérant, il permet la création d’espaces d’échanges, de débat, d’expérimentations et de questionnements en tout lieu et surtout là où on ne l’attend pas ! ;La démarche des Petits Débrouillards est basée sur l’expérimentation afin de développer un regard curieux et informé sur le monde qui nous entoure. ;"Une journée type du Science Tour Numérique : 
Au levé du soleil, un grand camion orange, « Ursule le véhicule » pour les intimes, arrive dans une nouvelle ville en plein milieu d’une place, d’un lieu de vie à proximité de commerces, d’une Mairie, d’un parc, au sein d’un établissement scolaire. Les animateurs Petits Débrouillards et les partenaires impliqués dans le projet déballent plusieurs tentes connectées entre elles, réinvestissent le lieu qui prend soudain des airs de festival ou de village du numérique. Les stands et animations se mettent en place pendant que les premiers groupes de publics, scolaires, centre de loisirs, centres sociaux ou passants  arrivent sur le village improvisé. Au sein du camion on peut s’initier à la robotique ou à l’impression 3D. Les enfants sortent du camion, accompagnés de l’animateur, avec des montages Arduino embarqués pour prendre des relevés de la qualité de l’air et investiguer sur les sources de pollution à proximité.  Les  publics sont questionnés sur ces nouveaux outils et leurs pratiques du numérique. Dans la première tente à côté du camion, des passants découvrent le principe de repair café présenté par un fablab partenaire. Un doctorant d’un laboratoire de recherche en informatique présente son travail sur l’intelligence artificielle. Une entreprise innovante présente et propose d’essayer un prototype de robot d’assistance aux personnes à mobilité réduite. La grande tente 6x6 accueille quant à elle une installation art-numérique ou un film projeté puis débattu. Plus loin un ERIC du coin distribue des Roadbook et fait découvrir une application pour smartphone invitant le public à participer à un grand jeu de géocaching ou de chasse au trésor augmentée à la découverte de lieux insolites ou les lieux de pratique du numérique dans la ville. Toute la journée, les médiateurs invitent les publics à se rendre le soir même au point cyber de la médiathèque communale participer à un café débat sur la question de l’accès aux données publiques. 
";Les publics privilégiés seront les jeunes ayant difficilement accès à l’offre de culture scientifique et numérique. Le projet vise prioritairement des interventions en semaine au sein de structures sociales et d’établissements scolaires situés en quartiers difficiles ou en zone rurale. Le science tour sera proposé au grand public les week-ends et mercredis. ;
ACCULTURATION ET EDUCATION;Urban Prod;;18 rue Colbert;13001;Marseille;Pôle Médiation;Tel: 04 84 25 25 47 Mail: ddinebongue@urbanprod.net ;Le pôle Mediation d'Urban Prod regroupe l’ensemble des actions conçues et mises en œuvre par l’association auprès des jeunes afin de favoriser leur insertion grâce aux outils numériques. Ce pôle regroupe les projets participatifs réalisés avec les centres pénitentiaires, avec les missions locales, centres sociaux (ateliers de réalisations de film, reportages...), et les projets financés par les partenaires institutionnels (projet de e-participation citoyenne dans des quartiers prioritaires de Marseille, en Méditerranée...).;"Apprentissage par l'action
• Apports théoriques : 
o Histoire de la médiation numérique et des TIC
o Culture technique et technicienne
o Éducation aux média, sensibilisation aux outils libres
o Identité numérique
o Community management
o Accompagnement de projets média
• Apports techniques et pratiques : 
o Accompagnement dans la réalisation de clips, de reportages, de fiction, de documentaires (médias participatifs)
o Initiation à la prise de vue avec caméra, appareil photo et caméra de poche
o initiation à la prise de son
o Initiation au montage (logiciels professionnels, table mashup...)
o Initiation à la pratique journalistique (écrite, photographique et audiovisuelle)
o cartoparties
o Initiation à la photographie
o Initiation au design graphique
o Accompagnement à l'usage des médias sociaux
o Médias interactifs
";Ateliers socio-éducatifs en groupe;Principalement des personnes issues de quartiers prioritaires, des jeunes décrocheurs, des publics sous main de justice, des personnes éloignées de l'emploi.;
ACCULTURATION ET EDUCATION;Imédias;;Place du foirail ;13140;Miramas ;Initiation à la création de site web ou de blogs;Tel: 07 77 72 53 81 – 06 64 98 79 58 Mail: mail2022@aol.co;Cet atelier participatif d'initiation propose une approche simplifiée de la construction d'un site web ou d'un blog.  ;;;Adultes – jeunes adultes – responsables associatifs ;
ACCULTURATION ET EDUCATION;Imédias;;Place du foirail ;13140;Miramas ;Initiation à la conception graphique (Photo shop);Tel: 07 77 72 53 81 – 06 64 98 79 58 Mail: mail2022@aol.co;Cet atelier participatif d'initiation propose de découvrir et de prendre en main d'adobe photo shop autour de la création d'un visuel. ;;;Adultes – jeunes adultes – responsables associatifs ;
ACCULTURATION ET EDUCATION;Imédias;;Place du foirail ;13140;Miramas ;Bien connaitre facebook pour mieux s'en protéger ;Tel: 07 77 72 53 81 – 06 64 98 79 58 Mail: mail2022@aol.com;Dans le cadre du programme d'éducation aux médias mis en place progressivement dans les collèges, cette conférence propose d'inciter parents et enfants à une prise de distance vis à vis des réseaux sociaux. Une approche technique et historique fait vite place à la déclinaison de ce qui est répréhensible sur les réseaux sociaux , les peines encourues et l'exposé de l'arsenal jurique existant pour pouvoir se défendre quand on est victime d'abus de tout ordre.;;Conférence débat;Adolescent et/ou leur parents - collèges;
ACCULTURATION ET EDUCATION;Imédias;;Place du foirail ;13140;Miramas ;Addiction et violence avec les jeux vidéo ;Tel: 07 77 72 53 81 – 06 64 98 79 58 Mail: mail2022@aol.co;Sans verser dans le propos culpabilisants, cette conférence débat aborde les risques de l'addiction et de l'enfermement dans la violence dans le cas d'un usage non raisonne des jeux vidéo. Mais il est expliqué que l'être humain se régule souvent tout seul. L'occasion aussi de mettre en évidence la créativité que l'on rencontre dans les jeux vidéo dans la musique, les scénario et la conception graphique.;;Conférence débat;Adolescent et/ou leur parents - collèges;
ACCULTURATION ET EDUCATION;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison de la Formation de Martigues;Quai Lucien Toulmond;13500;Martigues;Vie associative;Tel: 04 42 49 45 98 Mail: souad.belagrouz@paysdemartigues.fr;"Quelques idées de ce qui peut être abordé :
1 - Téléchargement et installation de logiciels libres
2 - Utilisation des Logiciels Libres (Libre Office principalement)
3 - Les réseaux sociaux comme outils de communication (Facebook…)
4 - Affiches et flyers comme moyens de communication
5 - Sécurité informatique (protéger sa messagerie, spam…)
6 - Utilisation de CLOUD (espace de stockage)
7 - Info-Conseils Informatique : 1h pour répondre aux questions techniques diverses !
(problèmes de fonctionnalités, périphériques, tablettes…)
8 – Les outils de travail collaboratifs (Pads, gestion de projets, planification de réunions, écriture collaborative, ressources en ligne...)
";"Méthodes actives
Priorité à la pratique en situation
";"Ateliers collectifs
Par groupe de 8-10 personnes
";Membres d'association du territoire;
ACCULTURATION ET EDUCATION;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";EPN Maison des Services aux Publics;Rue Charles Nedelec;13110;Port-de-Bouc;Vie associative;Tel: 04 42 40 65 12 Mail: elodie.gues@paysdemartigues.fr;"Quelques idées de ce qui peut être abordé :
1 - Téléchargement et installation de logiciels libres
2 - Utilisation des Logiciels Libres (Libre Office principalement)
3 - Les réseaux sociaux comme outils de communication (Facebook…)
4 - Affiches et flyers comme moyens de communication
5 - Sécurité informatique (protéger sa messagerie, spam…)
6 - Utilisation de CLOUD (espace de stockage)
7 - Info-Conseils Informatique : 1h pour répondre aux questions techniques diverses !
(problèmes de fonctionnalités, périphériques, tablettes…)
8 – Les outils de travail collaboratifs (Pads, gestion de projets, planification de réunions, écriture collaborative, ressources en ligne...)
";"Méthodes actives
Priorité à la pratique en situation
";"Ateliers collectifs
Par groupe de 8-10 personnes
";Membres d'association du territoire;
ACCULTURATION ET EDUCATION;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Coding scratch;Tel: 04 42 80 27 97 Mail: vincent.laroche@paysdemartigues.fr, yamina.jelassi@paysdemartigues.fr;Programmation par le jeu;Ces séances pourront avoir lieu au cours d'ateliers de découvertes, d'ateliers réguliers, de Coding Goûter ou de formule de stages lors des vacances scolaires.;Activités et stages de loisir;"Jeunes, âgées au minimum de 8 ans
Public ayant déjà une pratique minimum en informatique (maîtrise de la souris)
";
ACCULTURATION ET EDUCATION;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Découvrir et consulter la presse numérique;Tel: 04 42 80 27 97 Mail: vincent.laroche@paysdemartigues.fr, david.morin@paysdemartigues.fr;Mise en place de temps de médiation consacrés à la présentation des ressources numériques disponibles.;"Ateliers de pratique en situation
4 Postes informatiques
1 Accès internet
6 Tablettes numériques
Abonnement https://pro.lekiosk.com/
";"Activités stage de loisirs
Par groupe de 8-10 personnes.
";"Tout public
En premier les usagers de la médiathèque puis tous les usagers des EPN
";
ACCULTURATION ET EDUCATION;;;;;;Du numérique dans l'APPART ;Tel: 04 42 80 27 97 Mail: vincent.laroche@paysdemartigues.fr, souad.belagrouz@paysdemartigues.fr;Cette action consiste à proposer de manière assez régulière des ateliers thématiques pour les résidents de l'APPART.;Ateliers de pratique;Activité;"Résidents Association « L'APPART »
6 Personnes par séance
";
ACCULTURATION ET EDUCATION;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Je Débute et Je Maîtrise !;;Accompagnement aux usages les plus variés du numérique.;"Méthode active
Atelier de pratique
";Activités et stages collectifs;Tout public;
ACCULTURATION ET EDUCATION;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Participation forum ;"Tel: 04 42 80 27 97 Mail: christine.battaglia@paysdemartigues.f, vincent.laroche@paysdemartigues.fr
";Participation aux différents forums organisés par nos partenaires de l'emploi, de l'insertion, de l'éducation et de la formation.;Ordinateurs portables, imprimante, scanner;Accompagnement individuel des publics à la réalisation du CV pendant le temps du forum afin qu'il soit déposé sur place auprès des différents partenaires (emploi, organismes de formation…).;Publics présents sur les Forums (demandeurs d'emploi, stagiaires, étudiants...);
